"Large amounts of meat consumption are harming the environment, but...",AB Label,,Response,HM Labels,,,Response,EV Labels,,,Response,,RD Label,,
"""flexitarians” are vegetarians who eat meat occasionally.",Flexitarian w/o connection to environment or jobs,,"""flexitarians” are vegetarians who eat meat occasionally.",Flexitarian w/o connection to environment or jobs,TRUE,,"""flexitarians” are vegetarians who eat meat occasionally.",Flexitarian w/o connection to environment or jobs,TRUE,,"""flexitarians” are vegetarians who eat meat occasionally.",,Flexitarian w/o connection to environment or jobs,TRUE,
a logical alternative would be to engineer more environmentally friendly ways to produce meat.,Change the meat industry,,a logical alternative would be to engineer more environmentally friendly ways to produce meat.,Change the meat industry,TRUE,,a logical alternative would be to engineer more environmentally friendly ways to produce meat.,Change the meat industry,TRUE,,a logical alternative would be to engineer more environmentally friendly ways to produce meat.,,Change the meat industry,TRUE,
almost half of the water used in the U.S. goes to raising livestock.,Meat consumption harms environment,,almost half of the water used in the U.S. goes to raising livestock.,Meat consumption harms environment,TRUE,,almost half of the water used in the U.S. goes to raising livestock.,Meat consumption harms environment,TRUE,,almost half of the water used in the U.S. goes to raising livestock.,,Meat consumption harms environment,TRUE,
almost half the water used in the US goes to raising livestock.,Meat consumption harms environment,,almost half the water used in the US goes to raising livestock.,Meat consumption harms environment,TRUE,,almost half the water used in the US goes to raising livestock.,Meat consumption harms environment,TRUE,,almost half the water used in the US goes to raising livestock.,,Meat consumption harms environment,TRUE,
America's economy is sustained because of meat exports.,Meat creates jobs and benefits economy,,America's economy is sustained because of meat exports.,Meat creates jobs and benefits economy,TRUE,,America's economy is sustained because of meat exports.,Meat creates jobs and benefits economy,TRUE,,America's economy is sustained because of meat exports.,,Meat creates jobs and benefits economy,TRUE,
Americans are unlikely to change their habits due to the integration of meat into American culture.,People will or should still eat meat,,Americans are unlikely to change their habits due to the integration of meat into American culture.,People will or should still eat meat,TRUE,,Americans are unlikely to change their habits due to the integration of meat into American culture.,People will or should still eat meat,TRUE,,Americans are unlikely to change their habits due to the integration of meat into American culture.,,People will or should still eat meat,TRUE,
Americans are used to having it in their diets.,People will or should still eat meat,,Americans are used to having it in their diets.,People will or should still eat meat,TRUE,,Americans are used to having it in their diets.,People will or should still eat meat,TRUE,,Americans are used to having it in their diets.,,People will or should still eat meat,TRUE,
Americans continue to consume.,People will or should still eat meat,,Americans continue to consume.,People will or should still eat meat,TRUE,,Americans continue to consume.,People will or should still eat meat,TRUE,,Americans continue to consume.,,People will or should still eat meat,TRUE,
animals are so tasty.,People will or should still eat meat,,animals are so tasty.,People will or should still eat meat,TRUE,,animals are so tasty.,People will or should still eat meat,TRUE,,animals are so tasty.,,People will or should still eat meat,TRUE,
by stopping meat consumption you could damage the economy and cost people their jobs.,Meat industry benefits the economy,,by stopping meat consumption you could damage the economy and cost people their jobs.,Less meat consumption could harm economy and cut jobs,FALSE,,by stopping meat consumption you could damage the economy and cost people their jobs.,Less meat consumption could harm economy and cut jobs,FALSE,,by stopping meat consumption you could damage the economy and cost people their jobs.,,Less meat consumption could harm economy and cut jobs,FALSE,#ERROR!
"eating meat is part of American cultural traditions, and people would not want to give that up.",People will or should still eat meat,,"eating meat is part of American cultural traditions, and people would not want to give that up.",People will or should still eat meat,TRUE,,"eating meat is part of American cultural traditions, and people would not want to give that up.",People will or should still eat meat,TRUE,,"eating meat is part of American cultural traditions, and people would not want to give that up.",,The meat industry is important/thriving,FALSE,
exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.,Exports and demand are increasing,,exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.,,Exports and demand are increasing,TRUE,
exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,,exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets.,,Exports and demand are increasing,TRUE,
exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,,exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily diets.,,Exports and demand are increasing,TRUE,
exports are also increasing as more countries integrate meat into their daily lives.,Exports and demand are increasing,,exports are also increasing as more countries integrate meat into their daily lives.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily lives.,Exports and demand are increasing,TRUE,,exports are also increasing as more countries integrate meat into their daily lives.,,Exports and demand are increasing,TRUE,
exports are increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,,exports are increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are increasing as more countries integrate meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are increasing as more countries integrate meat into their daily diets.,,Exports and demand are increasing,TRUE,
exports are increasing as more countries integrate the meat into their daily diets.,Exports and demand are increasing,,exports are increasing as more countries integrate the meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are increasing as more countries integrate the meat into their daily diets.,Exports and demand are increasing,TRUE,,exports are increasing as more countries integrate the meat into their daily diets.,,Exports and demand are increasing,TRUE,
"exports are increasing, which leads to the economy increasing and more jobs.",Meat creates jobs and benefits economy,,"exports are increasing, which leads to the economy increasing and more jobs.",Meat creates jobs and benefits economy,TRUE,,"exports are increasing, which leads to the economy increasing and more jobs.",Exports and demand are increasing,FALSE,,"exports are increasing, which leads to the economy increasing and more jobs.",,Meat creates jobs and benefits economy,TRUE,
exports are increasing.,Exports and demand are increasing,,exports are increasing.,Exports and demand are increasing,TRUE,,exports are increasing.,Exports and demand are increasing,TRUE,,exports are increasing.,,Exports and demand are increasing,TRUE,
exports of meat from the U.S. are increasing as more countries integrate meat into their diets.,Exports and demand are increasing,,exports of meat from the U.S. are increasing as more countries integrate meat into their diets.,Exports and demand are increasing,TRUE,,exports of meat from the U.S. are increasing as more countries integrate meat into their diets.,Exports and demand are increasing,TRUE,,exports of meat from the U.S. are increasing as more countries integrate meat into their diets.,,Exports and demand are increasing,TRUE,
flexitarians are people who are trying to reduce this harm by only eating meat occasionally with a primarily vegetarian diet.,Flexitarians benefit environment,,flexitarians are people who are trying to reduce this harm by only eating meat occasionally with a primarily vegetarian diet.,Flexitarian w/o connection to environment or jobs,FALSE,,flexitarians are people who are trying to reduce this harm by only eating meat occasionally with a primarily vegetarian diet.,Flexitarians benefit environment,TRUE,,flexitarians are people who are trying to reduce this harm by only eating meat occasionally with a primarily vegetarian diet.,,Flexitarian w/o connection to environment or jobs,FALSE,
"flexitarians believe that a diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.",Flexitarian w/o connection to environment or jobs,,"flexitarians believe that a diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.",Flexitarian w/o connection to environment or jobs,TRUE,,"flexitarians believe that a diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.",Flexitarian w/o connection to environment or jobs,TRUE,,"flexitarians believe that a diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.",,Flexitarian w/o connection to environment or jobs,TRUE,
