Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs.
Large amounts of meat consumption are harming the environment, but the meat industry is thriving.
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs. 
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry.
Large amounts of meat consumption are harming the environment, but Reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs.
Large amounts of meat consumption are harming the environment, but the meat industry is thriving. 
Large amounts of meat consumption are harming the environment, but reducing meat consumption could hurt the economy.
Large amounts of meat consumption are harming the environment, but  reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs.
Large amounts of meat consumption are harming the environment, but most of the beef produced domestically is eaten by Americans.
Large amounts of meat consumption are harming the environment, but eliminating meat would be like giving up an essential part of our culture and traditions.
Large amounts of meat consumption are harming the environment, but the meat industry is thriving and provides many jobs.
Large amounts of meat consumption are harming the environment, but eliminating meat would be like giving up an essential part of our culture and traditions
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, hurting the economy and taking away jobs.
Large amounts of meat consumption are harming the environment, but the industry is thriving.
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, hurt the economy, and take away jobs.
Large amounts of meat consumption are harming the environment, but exports are also increasing as more countries integrate meat into their daily diets.
Large amounts of meat consumption are harming the environment, but is good for the economy.
Large amounts of meat consumption are harming the environment, but reducing meat consumption could hurt the economy and take away precious jobs.
Large amounts of meat consumption are harming the environment, but reducing meat consumption could hurt the economy and take away jobs.
Large amounts of meat consumption are harming the environment, but taking away meat is taking away the American culture and its traditions. 
Large amounts of meat consumption are harming the environment, but the meat industry provides jobs.
Large amounts of meat consumption are harming the environment, but almost half the water used in the US goes to raising livestock. 
Large amounts of meat consumption are harming the environment, but eating meat is an essential part of American culture and traditions.
Large amounts of meat consumption are harming the environment, but many jobs depend on the industry.
Large amounts of meat consumption are harming the environment, but its large consumption makes the industry a strong economic force and job-creator.
Large amounts of meat consumption are harming the environment, but raising animals provides many jobs and helps the economy.
Large amounts of meat consumption are harming the environment, but if we integrate a more plant-based diet, we can reduce that harm.
Large amounts of meat consumption are harming the environment, but it also provides jobs for others.
Large amounts of meat consumption are harming the environment, but exports of meat from the U.S. are increasing as more countries integrate meat into their diets.
Large amounts of meat consumption are harming the environment, but eating some meat does have it's benefits.
Large amounts of meat consumption are harming the environment, but meat and fish are part of most healthy diets in moderation.
Large amounts of meat consumption are harming the environment, but it can be healthy and responsible choice if consumed in moderation.
Large amounts of meat consumption are harming the environment, but  reducing meat consumption can hurt the economy.  
Large amounts of meat consumption are harming the environment, but it also positively affects the economy.
Large amounts of meat consumption are harming the environment, but it is providing jobs 
Large amounts of meat consumption are harming the environment, but meat consumption is a large industry with a huge economic impact.
Large amounts of meat consumption are harming the environment, but eating meat is a part of the culture.
Large amounts of meat consumption are harming the environment, but there are flexitarians, people who belueve that most of their diet should be plant-based, with occasional meat consumption. 
Large amounts of meat consumption are harming the environment, but reducing the meat industry could hurt the economy. 
Large amounts of meat consumption are harming the environment, but reducing meat consumption could damage an important domestic industry, thus hurting the economy. 
Large amounts of meat consumption are harming the environment, but decreasing the production of meat could cause people to lose their jobs.
Large amounts of meat consumption are harming the environment, but it's an important part of the american way.
Large amounts of meat consumption are harming the environment, but flexitarians provide an alternative that does not harm the environment as much,
Large amounts of meat consumption are harming the environment, but to avoid over animal population eating meat is necessary. 
Large amounts of meat consumption are harming the environment, but exports are also increasing as more countries put in meat into their diet.
Large amounts of meat consumption are harming the environment, but there are ways people can combat the amount of greenhouse gases given off by transporting the animals.
Large amounts of meat consumption are harming the environment, but exports of domestically produced beef is increasing allowing the meat industry to thrive.
Large amounts of meat consumption are harming the environment, but farming for meat and other entities related to that (e.g., transportation, sales) create jobs for people and consuming meat is a part of American culture.
Large amounts of meat consumption are harming the environment, but the meat industry is important to the economy.
Large amounts of meat consumption are harming the environment, but the economy benefits from the sale of meat because meat has become a profitable export.
Large amounts of meat consumption are harming the environment, but the meat industry is still thriving.
Large amounts of meat consumption are harming the environment, but reducing meat consumption could harm the U.S. domestic industry, negatively impact the economy and cause the loss of jobs.
