Large amounts of meat consumption are harming the environment, so consumers need to be made aware that the choice to consume meat doesn't begin and end with a package in a grocery store.
Large amounts of meat consumption are harming the environment, so we should try to find more eco-friendly ways of raising animals.
Large amounts of meat consumption are harming the environment, so more people are becoming flexitarians.
Large amounts of meat consumption are harming the environment, so eat a little less if you wish.
Large amounts of meat consumption are harming the environment, so we should be more mindful of our consumption.
Large amounts of meat consumption are harming the environment, so switching to a "flexitarian" diet can be helpful to those that are unwilling to fully give up eating meat.
Large amounts of meat consumption are harming the environment, so people are shifting towards becoming "flexitarians", eating mostly plant-based diets and consuming meat occasionally.
Large amounts of meat consumption are harming the environment, so lawmakers and the public should take action to reduce greenhouse gases.
Large amounts of meat consumption are harming the environment, so some people are choosing to be flexitarians, or people who mostly consume a plant based diet but occasionally eat meat.
Large amounts of meat consumption are harming the environment, so some people suggest that diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.
Large amounts of meat consumption are harming the environment, so we should consume meat with moderation.
Large amounts of meat consumption are harming the environment, so many people are adopting eating patterns known as flexitarian, wherein meat consumption is allowed but limited.
Large amounts of meat consumption are harming the environment, so eat meat in moderation, and make sure not to eat imported meat.
Large amounts of meat consumption are harming the environment, so some people are learning to adopt vegetarian diets where they are able to eat meat once in a while.
Large amounts of meat consumption are harming the environment, so we should look at sustainable ways to transport meat that is less taxing on the environment.
Large amounts of meat consumption are harming the environment, so people should moderate the amount of meat they eat.
Large amounts of meat consumption are harming the environment, so some people are cutting back on meat and calling themselves "flexitarians", where they eat meat occasionally.
Large amounts of meat consumption are harming the environment, so the best solution is to reduce consumption
Large amounts of meat consumption are harming the environment, so we shouldn't get rid of meat all together, but have it in moderation.
Large amounts of meat consumption are harming the environment, so some people become flexitarians which is mostly plant based but they allow meat and fish in moderation
Large amounts of meat consumption are harming the environment, so some people have become flexitarians, meaning they eat meat and fish only occasionally.
Large amounts of meat consumption are harming the environment, so many are taking steps to reduce their meat consumption, using meat only on special occasions while eating a primarily plant based diet.
Large amounts of meat consumption are harming the environment, so some people are becoming flexitarians, eating meat periodically instead of consistently.
Large amounts of meat consumption are harming the environment, so people should aim to reduce the amount of meat they consume.
Large amounts of meat consumption are harming the environment, so many people are looking for ways to reduce eating meat.
Large amounts of meat consumption are harming the environment, so people are looking for ways to reduce the strain it is putting on the environment.
Large amounts of meat consumption are harming the environment, so becoming a partial vegetarian help would cut down on green house gases.
Large amounts of meat consumption are harming the environment, so we should all try to cut down on our meat consumption.
Large amounts of meat consumption are harming the environment, so some people are choosing the dieting option of being a "Flexitarians" which means they eat a mostly plant based diet my occasionally eat meat and fish in moderation
Large amounts of meat consumption are harming the environment, so some people choose another option.
Large amounts of meat consumption are harming the environment, so we need to find a balance between our consumption and meat alternatives so we can enjoy meat and reduce its environmental impact on the planet.
Large amounts of meat consumption are harming the environment, so it is best if people could become flexitarians and only eat meat occasionaly.
Large amounts of meat consumption are harming the environment, so reducing meat consumption would reduce greenhouse gases which benefiting the environment.
Large amounts of meat consumption are harming the environment, so more people should reduce their meat consumption to moderate and become flexiterians.
Large amounts of meat consumption are harming the environment, so people should consider the option of becoming "Flexitarians", vegetarians who choose to eat meat occasionally and in moderation.
Large amounts of meat consumption are harming the environment, so people need to reduce the amount of meat they consume and eat a more plant based diet.
