they only account for 20% of the world's total greenhouse gases, there are other factors at play that we need to start regulating in order to take care of the other 80%.	Outside of article's scope
the meat industry accounts for a large portion of jobs in the US.	Meat creates jobs and benefits economy
it adds to the protein needed for good nutrition.	Eating meat is necessary for good nutrition
many people still adopt the American tradition of meat consumption.	Eating meat is part of culture/tradition
it would affect economy and culture if all turns to vegetarian	Less meat consumption could harm economy and cut jobs
it also positively affects the economy.	Meat creates jobs and benefits economy
for people like me, a flexitarian, I need red meat and turkey to maintain my iron levels - so I am very careful to eat the healthiest possible meats.	Flexitarian w/o connection to environment or jobs
humans are literally made to eat meat.	People will or should still eat meat
are important part of the economy.	Meat creates jobs and benefits economy
people are consuming more and more meat.	People will or should still eat meat
there are options to reduce the environmental impact while still consuming meat	Flexitarians benefit environment
are a source of employment and revenue domestically.	Meat creates jobs and benefits economy
are an important domestic industry, helping maintain a strong economy.	Meat creates jobs and benefits economy
they are a part of our culture and they employ a lot of people.	Meat creates jobs and benefits economy
numbers of people are becoming flexitarians as they eat meat on occasion while continuing to be a vegetarian.	Flexitarian w/o connection to environment or jobs
there are ways to make the environment better by eliminating meat and becoming Flexitarians.	Flexitarians benefit environment
some people are choosing to eat either a plant based diet, or one that incorporates only small amounts of meat.	Flexitarian w/o connection to environment or jobs
exports are also increasing as more countries integrate meat into their daily lives.	The meat industry is important/thriving and/or exports/demand increasing
people are trying to live a healthier life by being vegan.	Flexitarian w/o connection to environment or jobs
exports are also increasing as more countries integrate meat into their daily diets.	The meat industry is important/thriving and/or exports/demand increasing
are a part of the American culture.	Eating meat is part of culture/tradition
more countries are increasing  meat into their daily lives.	The meat industry is important/thriving and/or exports/demand increasing
exports are increasing, which leads to the economy increasing and more jobs.	Meat creates jobs and benefits economy
many jobs are provided by the meat industry.	Meat creates jobs and benefits economy
from an economic position exports are thriving and also meat is quite a large part of many american's diet and tradition.	The meat industry is important/thriving and/or exports/demand increasing
we are making money off the exporting of meat to other countries.	The meat industry is important/thriving and/or exports/demand increasing
nevertheless, people are eating  a lot of meat and the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
exports are increasing as a result of more countries integrating meat into their diets, and the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
meat exports are occurring which stabilize and provide jobs for Americans.	Meat creates jobs and benefits economy
exports are also increasing as more countries integrate meat into their daily diets.	The meat industry is important/thriving and/or exports/demand increasing
still are essential for humans to survive.	People will or should still eat meat
animals are so tasty.	People will or should still eat meat
they are helping the economy stay strong and vibrant.	Meat creates jobs and benefits economy
some countries culture are heavily influenced by the consumption of meat	Eating meat is part of culture/tradition
people are reducing their meat consumption	Flexitarian w/o connection to environment or jobs
are supporting the economy, especially as the world incorporates more meat in their diets.	Meat creates jobs and benefits economy
people are set in their ways and don’t want to change their habits.	People will or should still eat meat
some people choose another option, "Flexitarians” are vegetarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
exports are also increasing as more countries integrate meat intotheir daily lives.	The meat industry is important/thriving and/or exports/demand increasing
people are part of the environment and despite assertions to the contrary it is a natural part of our biological makeup to consume meat and has been for tens of thousands of years.	People will or should still eat meat
are helping the economy.	Meat creates jobs and benefits economy
they are benefiting the global economy.	Meat creates jobs and benefits economy
there are some flexitarians who use a mostly plant based diet with some fish and chicken.	Flexitarian w/o connection to environment or jobs
one fifth of the earths greenhouse gasses are created by raising domestic animals for food.	Meat consumption harms environment
there are ways to produce meat in the lab This would make meat consumption viable.	Outside of article's scope
exports are increasing as more countries integrate meat into their daily diets so the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
some people are choosing the flexitarian option	Flexitarian w/o connection to environment or jobs
are an essential part of our culture and traditions.	Eating meat is part of culture/tradition
they are part of American tradition, and also create jobs.	Meat creates jobs and benefits economy
there are responsible ways of doing it.	Outside of article's scope
they are vital to the domestic economy.	Meat creates jobs and benefits economy
there are safer options.	Flexitarian w/o connection to environment or jobs
people are now turning flexitarians by consumin vegetarian diet and taking meat occasionally.	Flexitarian w/o connection to environment or jobs
if ways are changed by eating less or moderating consumption we can ease the harm.	Flexitarians benefit environment
are also beneficial to the economy because of the many jobs associated with meat production and transportation.	Meat creates jobs and benefits economy
American exports are increasing since more countries are incorporating meat into their daily diets.	The meat industry is important/thriving and/or exports/demand increasing
since other countries are starting to incorporate more meat into their diets, the meat industry is thriving and helping the American economy.	Meat creates jobs and benefits economy
some people are choosing to consume less meat.	Flexitarian w/o connection to environment or jobs
exports are increasing as many countries integrate meat into their daily diet and the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
they are also helping boost our economy and keeping many people employed.	Meat creates jobs and benefits economy
they are an important part of our diet, our culture, and our economy.	Meat creates jobs and benefits economy
some people are Flexitarians who eat vegetables regularly and are occasional meat eaters	Flexitarian w/o connection to environment or jobs
many meat dishes (such as barbecue, chili, etc.) are an integral part of American culture.	Eating meat is part of culture/tradition
there are other ways to help the environment such as using more flex fuel and green in cars, truck, buses.	Outside of article's scope
there are those who are working to combat the adverse effects of the industry.	Change without mentioning consumption
there are alternatives to giving it up entirely.	Flexitarian w/o connection to environment or jobs
for Americans, meat dishes are an integral part of their culture and traditions, and the meat industry is a robust element of our economy.	Meat creates jobs and benefits economy
meat exports are increasing and creating a more profitable business.	The meat industry is important/thriving and/or exports/demand increasing
so are cars, trucks, trains, and airplanes.	Outside of article's scope
humans are getting protein.	Eating meat is necessary for good nutrition
"flexitarians” are vegetarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
there are ways to limit the amount of meat consumption around the U.S by becoming a "flexitarian"	Flexitarian w/o connection to environment or jobs
they are also providing valuable jobs for many people as the meat export industry grows.	Meat creates jobs and benefits economy
people are finding new ways of incorporating meat into their diet, such as the flexitarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
other countries are starting to eat more meat regardless.	People will or should still eat meat
they are part of the American way.	Eating meat is part of culture/tradition
people are making compromises by becoming occasional meat consumers, known as "flexatarians".	Flexitarians benefit environment
are an essential domestic industry.	The meat industry is important/thriving and/or exports/demand increasing
are a major domestic industry that would be damaging to loose	Less meat consumption could harm economy and cut jobs
exports are increasing.	The meat industry is important/thriving and/or exports/demand increasing
are also helping our economy.	Meat creates jobs and benefits economy
exports are increasing as more countries integrate meat into their daily diets.	The meat industry is important/thriving and/or exports/demand increasing
exports are also increasing by many countries, as they integrate meat consumption into their diets.	The meat industry is important/thriving and/or exports/demand increasing
there are more jobs when meat is consumed.	Meat creates jobs and benefits economy
are providing people jobs and could hurt the economy and those within the meat production industry.	Meat creates jobs and benefits economy
a lot of people are employed in the meat producing industry.	Meat creates jobs and benefits economy
they are an important and a symbolic part of many American's lives	Eating meat is part of culture/tradition
some people are vegetarians and only eat meat occasionally.	Flexitarian w/o connection to environment or jobs
flexitarians are people who are trying to reduce this harm by only eating meat occasionally with a primarily vegetarian diet.	Flexitarians benefit environment
exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.	The meat industry is important/thriving and/or exports/demand increasing
are creating jobs.	Meat creates jobs and benefits economy
exports are increasing as more countries are integrating meat into their diet	The meat industry is important/thriving and/or exports/demand increasing
are icon of holidays in America such as eating hot dogs and Hamburgers on the fourth of July.	Eating meat is part of culture/tradition
Americans are used to having it in their diets.	People will or should still eat meat
Americans are unlikely to change their habits due to the integration of meat into American culture.	Eating meat is part of culture/tradition
more countries are integrating meat into their daily diets.	The meat industry is important/thriving and/or exports/demand increasing
many meats are traditional to American food and are symbolic for holidays such as Thanksgiving.	Eating meat is part of culture/tradition
other countries are increasing their meat consumption, thereby increasing demand for meat.	The meat industry is important/thriving and/or exports/demand increasing
there are ways people can combat the amount of greenhouse gases given off by transporting the animals.	Change without mentioning consumption
exports are also increasing as more countries put in meat into their diet.	The meat industry is important/thriving and/or exports/demand increasing
there are flexitarians, people who belueve that most of their diet should be plant-based, with occasional meat consumption.	Flexitarian w/o connection to environment or jobs
meat and fish are part of most healthy diets in moderation.	Flexitarian w/o connection to environment or jobs
exports of meat from the U.S. are increasing as more countries integrate meat into their diets.	The meat industry is important/thriving and/or exports/demand increasing
if we ate less meat, the meat industry would suffer.	Less meat consumption could harm economy and cut jobs
to avoid over animal population eating meat is necessary.	Outside of article's scope
it is also creating and maintaining jobs and supporting the economy.	Meat creates jobs and benefits economy
meat is an important industry in the united states, culturally and economically	The meat industry is important/thriving and/or exports/demand increasing
meat consumption is such a big part of American culture, it is likely to continue and even grow.	Meat creates jobs and benefits economy
it is contributing to jobs in America and apart of our culture.	Meat creates jobs and benefits economy
it is imported to other countries as well as consumed in the USA, which has made it an important domestic industry.	The meat industry is important/thriving and/or exports/demand increasing
the meat industry is doing an all time high amount of business.	The meat industry is important/thriving and/or exports/demand increasing
it is an important domestic industry	The meat industry is important/thriving and/or exports/demand increasing
the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
the meat industry is thriving because beef produced domestically is a huge export and is helping the economy.	Meat creates jobs and benefits economy
meat is necessary for human beings to keep important traditions.	Eating meat is part of culture/tradition
moderation is ley....	Flexitarian w/o connection to environment or jobs
it is the American culture and tradition.	Eating meat is part of culture/tradition
the industry is an important  portion of the economy, producing many jobs	Meat creates jobs and benefits economy
there is something we can do to stop the harm, but also not eliminate the meat industry.	Change without mentioning consumption
