humans are literally made to eat meat.	People will or should still eat meat
many people still adopt the American tradition of meat consumption.	Eating meat is part of culture/tradition
occasionally eating meat and mainly focusing on a plant based diet can reduce the harm	Flexitarians benefit environment
are important part of the economy.	Meat creates jobs and benefits economy
it is also creating and maintaining jobs and supporting the economy.	Meat creates jobs and benefits economy
the meat industry also provides valuable jobs and supports the economy.	Meat creates jobs and benefits economy
it would hurt the economy if we lowered our meaat consumption as many industries rely on meat consumption.	Less meat consumption could harm economy and cut jobs
meat is an important industry in the united states, culturally and economically	The meat industry is important/thriving and/or exports/demand increasing
meat consumption is such a big part of American culture, it is likely to continue and even grow.	Meat creates jobs and benefits economy
it is contributing to jobs in America and apart of our culture.	Meat creates jobs and benefits economy
it is imported to other countries as well as consumed in the USA, which has made it an important domestic industry.	The meat industry is important/thriving and/or exports/demand increasing
the meat industry is doing an all time high amount of business.	The meat industry is important/thriving and/or exports/demand increasing
if consumed in moderation, can be less harmful to the environment.	Flexitarians benefit environment
people are consuming more and more meat.	People will or should still eat meat
the meat industry also created many jobs domestically.	Meat creates jobs and benefits economy
exports of meat help the economy.	Meat creates jobs and benefits economy
reducing meat consumption could damage a booming industry thus leading to job loss and economic downturn.	Less meat consumption could harm economy and cut jobs
benefiting the economy.	Meat creates jobs and benefits economy
reducing meat consumption could damage an important domestic industry.	Less meat consumption could harm economy and cut jobs
removing meat consumption will take away a thriving export market and take away jobs.	Less meat consumption could harm economy and cut jobs
it is an important domestic industry	The meat industry is important/thriving and/or exports/demand increasing
reducing meat consumption could damage an important domestic industry, hurting the economy and taking away precious jobs.	Less meat consumption could harm economy and cut jobs
not eating eat could also hurt the economy with people losing jobs.	Less meat consumption could harm economy and cut jobs
becoming a flexitarian could help reduce the problem.	Flexitarians benefit environment
if we cut down on our meat consumption this would help.	Flexitarians benefit environment
the meat industry is thriving.	The meat industry is important/thriving and/or exports/demand increasing
to cut out meat eating would harm the USA economy.	Less meat consumption could harm economy and cut jobs
the meat industry is thriving because beef produced domestically is a huge export and is helping the economy.	Meat creates jobs and benefits economy
there are options to reduce the environmental impact while still consuming meat	Flexitarians benefit environment
are a source of employment and revenue domestically.	Meat creates jobs and benefits economy
reducing meat consumption completely could hurting the economy and taking away precious jobs.	Less meat consumption could harm economy and cut jobs
meat is necessary for human beings to keep important traditions.	Eating meat is part of culture/tradition
eating meat in moderation may lessen the harm we are doing to the environment	Flexitarians benefit environment
moderation is ley....	Flexitarian w/o connection to environment or jobs
reducing meat consumption could hurt the economy and take away jobs.	Less meat consumption could harm economy and cut jobs
if meet consumption was eliminated, this would put all the people in the meat industry out of work.	Less meat consumption could harm economy and cut jobs
it creates jobs and is good for the economy.	Meat creates jobs and benefits economy
it is the American culture and tradition.	Eating meat is part of culture/tradition
reducing meat consumption could hurt the economy  and increase unemployment.	Less meat consumption could harm economy and cut jobs
reducing meat consumption could potentially hurt the economy in the long run.	Less meat consumption could harm economy and cut jobs
could the American tradition of eating meat be hurting the earth	Meat consumption harms environment
it helps solve the hunger problem in other areas and there is a demand.	The meat industry is important/thriving and/or exports/demand increasing
the industry is an important  portion of the economy, producing many jobs	Meat creates jobs and benefits economy
many Americans eat meat because of traditions.	Eating meat is part of culture/tradition
reducing it could hurt the economy and eliminate many jobs in the industry.	Less meat consumption could harm economy and cut jobs
choosing not to consume meat can damage the domestic industry and take away jobs.	Less meat consumption could harm economy and cut jobs
the meat industry provides jobs for Americans.	Meat creates jobs and benefits economy
are an important domestic industry, helping maintain a strong economy.	Meat creates jobs and benefits economy
this could be reduced if people ate more vegetables instead of meat.	Flexitarians benefit environment
a decrease in the consumption of meat could hurt the economy and make people lose jobs.	Less meat consumption could harm economy and cut jobs
