American exports are increasing since more countries are incorporating meat into their daily diets.	Exports and demand are increasing
exports are also increasing as more countries integrate meat into their daily diets making meat a thriving industry.	Exports and demand are increasing
exports are also increasing as more countries integrate meat into their daily diets.	Exports and demand are increasing
exports are also increasing as more countries integrate meat into their daily diets.	Exports and demand are increasing
exports are also increasing as more countries integrate meat into their daily lives.	Exports and demand are increasing
exports are also increasing as more countries integrate meat intotheir daily lives.	Exports and demand are increasing
exports are increasing as a result of more countries integrating meat into their diets, and the meat industry is thriving.	Exports and demand are increasing
exports are increasing as many countries integrate meat into their daily diet and the meat industry is thriving.	Exports and demand are increasing
exports are increasing as more countries integrate meat into their daily diets.	Exports and demand are increasing
exports are increasing as more countries integrate the meat into their daily diets.	Exports and demand are increasing
exports are increasing, which leads to the economy increasing and more jobs.	Exports and demand are increasing
exports are increasing.	Exports and demand are increasing
exports of meat from the U.S. are increasing as more countries integrate meat into their diets.	Exports and demand are increasing
increasing export to other countries.	Exports and demand are increasing
more countries are increasing  meat into their daily lives.	Exports and demand are increasing
the meat industry is thriving because of American diets and exports.	Exports and demand are increasing
the meat industry is thriving due to the demand.	Exports and demand are increasing
the meat industry is thriving, with more and more meat being exported.	Exports and demand are increasing
"flexitarians” are vegetarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
can be eaten in moderation.	Flexitarian w/o connection to environment or jobs
consumption of meat and fish can be healthy and responsible if done in moderation.	Flexitarian w/o connection to environment or jobs
eating meat and fish in moderation can be healthy and responsible.	Flexitarian w/o connection to environment or jobs
flexitarians believe that a diet should be mostly plant-based, but that meat and fish can be healthy and responsible choices if consumed in moderation.	Flexitarian w/o connection to environment or jobs
if eaten responsibly and in moderation, meat can be a valuable part of a regular diet.	Flexitarian w/o connection to environment or jobs
in moderation meat consumption can still be healthy and responsible.	Flexitarian w/o connection to environment or jobs
it is better to encourage more moderate meat consumption than try to ban eons old tradition of meat consumption.	Flexitarian w/o connection to environment or jobs
it is not as bad if you eat in moderation.	Flexitarian w/o connection to environment or jobs
it's still possible to consume meat in moderation	Flexitarian w/o connection to environment or jobs
meat and fish can be healthy and responsible choices if consumed in moderation.	Flexitarian w/o connection to environment or jobs
moderation is ley....	Flexitarian w/o connection to environment or jobs
numbers of people are becoming flexitarians as they eat meat on occasion while continuing to be a vegetarian.	Flexitarian w/o connection to environment or jobs
people are finding new ways of incorporating meat into their diet, such as the flexitarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
people are making compromises by becoming occasional meat consumers, known as "flexatarians".	Flexitarian w/o connection to environment or jobs
people are now turning flexitarians by consumin vegetarian diet and taking meat occasionally.	Flexitarian w/o connection to environment or jobs
people are reducing their meat consumption	Flexitarian w/o connection to environment or jobs
should be consumed in moderation.	Flexitarian w/o connection to environment or jobs
should be reduced to moderate intake.	Flexitarian w/o connection to environment or jobs
some consumers have opted for other options such as becoming flexitarians.	Flexitarian w/o connection to environment or jobs
some people are choosing the flexitarian option	Flexitarian w/o connection to environment or jobs
some people are choosing to consume less meat.	Flexitarian w/o connection to environment or jobs
some people are choosing to eat either a plant based diet, or one that incorporates only small amounts of meat.	Flexitarian w/o connection to environment or jobs
some people are Flexitarians who eat vegetables regularly and are occasional meat eaters	Flexitarian w/o connection to environment or jobs
some people called flexitarians are opting to eat meat in moderation	Flexitarian w/o connection to environment or jobs
some people choose another option, "Flexitarians” are vegetarians who eat meat occasionally.	Flexitarian w/o connection to environment or jobs
some people have adjusted their diet to limited but not fully stop eating meat.	Flexitarian w/o connection to environment or jobs
some vegetarians have opted to become "Flexitarians" who focus on plant-based consumption with occasionally responsible meat eating.	Flexitarian w/o connection to environment or jobs
the rise of "flexitarians" could indicate that meat consumption may eventually trend downwards.	Flexitarian w/o connection to environment or jobs
there are some flexitarians who use a mostly plant based diet with some fish and chicken.	Flexitarian w/o connection to environment or jobs
there is an option between never eating meat again and continuing at the current consumption rates.	Flexitarian w/o connection to environment or jobs
there is something we can do to stop the harm, but also not eliminate the meat industry.	Flexitarian w/o connection to environment or jobs
you can still consume it in moderation along with a more plant-based diet.	Flexitarian w/o connection to environment or jobs
becoming a flexitarian could help reduce the problem.	Flexitarians benefit environment
being a flexitarian is also an option that provides some relief but is not as drastic of a dietary change.	Flexitarians benefit environment
being a flexitarian will help decrease harm to the environment.	Flexitarians benefit environment
being flexible in food choices can help.	Flexitarians benefit environment
eaten in moderation it is okay according to many people who label themselves "Flexitarians."	Flexitarians benefit environment
