Schools should not allow junk food to be sold on campus, but offer healthier choices instead
Schools should not allow junk food to be sold on campus, but ?
Schools should not allow junk food to be sold on campus, but kids really should have a choice as to what they want to eat.
Schools should not allow junk food to be sold on campus, but it does generate money.
Schools should not allow junk food to be sold on campus, but selling snacks does raise money for the school.
Schools should not allow junk food to be sold on campus, but should provide healthy options for snacks.
Schools should not allow junk food to be sold on campus, but we can't take away peoples rights.
Schools should not allow junk food to be sold on campus, but freedom of choice is important
Schools should not allow junk food to be sold on campus, but All food, ANY FOOD, can be a part of a healthy diet
Schools should not allow junk food to be sold on campus, but should instead focus on providing nutritious alternatives such as fruits like apples, bananas and other healthy choices.
Schools should not allow junk food to be sold on campus, but they could sell similar good tasting healthier options.
Schools should not allow junk food to be sold on campus, but nutritious food and snacks should be sold instead.
Schools should not allow junk food to be sold on campus, but instead should provide healthier food alternatives.
Schools should not allow junk food to be sold on campus, but it helps generates money for the school
Schools should not allow junk food to be sold on campus, but it can be easily replaced with good food
Schools should not allow junk food to be sold on campus, but should offer reasonable alternative to the type of snacks that you would expect to find at a school.
Schools should not allow junk food to be sold on campus, but kids should be able to choose.
Schools should not allow junk food to be sold on campus, but they should sell more nutritious snacks.
Schools should not allow junk food to be sold on campus, but kids can bring in whatever they like
Schools should not allow junk food to be sold on campus, but they should not ban candy companies from advertising in schools if it provides funding.
Schools should not allow junk food to be sold on campus, but/ they do it anyway so they can make money
Schools should not allow junk food to be sold on campus, but there is an argument to be made that students should be allowed to make their own food choices.
Schools should not allow junk food to be sold on campus, but many kids prefer junk food
Schools should not allow junk food to be sold on campus, but healthy snacks like low sugar yogurt and fruit SHOULD be sold.
Schools should not allow junk food to be sold on campus, but they should allow kids to bring their own if they want.
Schools should not allow junk food to be sold on campus, but should be allowed to sell somewhat healthier alternatives.
Schools should not allow junk food to be sold on campus, but I understand why they do. They want to make money because they are not properly funded.
Schools should not allow junk food to be sold on campus, but doing so would make for a happier student body, especially when they would suffer if they can't have access to junk food at school when they do at home.
Schools should not allow junk food to be sold on campus, but it does raise money for schools.
Schools should not allow junk food to be sold on campus, but it is the parents responsibility to try to teach their children about healthy eating/lifestyle.
Schools should not allow junk food to be sold on campus, but children should be allowed to chose what they eat.
Schools should not allow junk food to be sold on campus, but some think students should be able to choose what they eat.
Schools should not allow junk food to be sold on campus, but it generates money for schools.
Schools should not allow junk food to be sold on campus, but the schools make money off of it.
Schools should not allow junk food to be sold on campus, but ultimately it is up to the individual student what they eat or drink.
Schools should not allow junk food to be sold on campus, but should provide a wider range of healthier options
Schools should not allow junk food to be sold on campus, but it does provide the school system with extra revenue
Schools should not allow junk food to be sold on campus, but snacks would be okay in moderation. Like providing each student with so many points for snacks throughout the week.
Schools should not allow junk food to be sold on campus, but we cannot protect our kids from everything bad for them out there.
Schools should not allow junk food to be sold on campus, but selling junk foods generates money for the school.
Schools should not allow junk food to be sold on campus, but it should also educate students and staff alike on why it has opted to do so.
Schools should not allow junk food to be sold on campus, but it does allow students to make choices.
Schools should not allow junk food to be sold on campus, but some argue that students should be allowed to choose what they eat.
Schools should not allow junk food to be sold on campus, but they could stock vending machines with healthier food.
Schools should not allow junk food to be sold on campus, but it's worth noting that many students will still have easy access to it off campus.
Schools should not allow junk food to be sold on campus, but we must clearly define why we mean by junk food if we are to enforce this rule.
Schools should not allow junk food to be sold on campus, but should instead promote healthy eating by filling snack machines with nutritious foods
Schools should not allow junk food to be sold on campus, but schools could fill the snack machines with healthy choices.
Schools should not allow junk food to be sold on campus, but should provide access to healthy snacks.
Schools should not allow junk food to be sold on campus, but it is good to have a balance of healthy and junk food.
Schools should not allow junk food to be sold on campus, but schools already have so many roles to fill that asking them to arbitors of health may be too much to ask.
Schools should not allow junk food to be sold on campus, but I do not think that schools will totally eliminate junk food on campus because it generates much needed money for them.
Schools should not allow junk food to be sold on campus, but should offer better choices.
Schools should not allow junk food to be sold on campus, but they raise money for the school.
Schools should not allow junk food to be sold on campus, but allow healthier snacks
Schools should not allow junk food to be sold on campus, but what should be sold insted of junk food?
Schools should not allow junk food to be sold on campus, but let students do what they want
Schools should not allow junk food to be sold on campus, but if kids choose to bring so on their own, that is their family's decision.
Schools should not allow junk food to be sold on campus, but it is the parents and the student's choice to eat junk food as they want to.
Schools should not allow junk food to be sold on campus, but could fill the snack machines with more nutritious food.
Schools should not allow junk food to be sold on campus, but the schools can make some revenue for school improvements by selling junk food.
Schools should not allow junk food to be sold on campus, but.There is a higher incidence of type 2 diabetes among youth in recent years
Schools should not allow junk food to be sold on campus, but healthy foods only allowed for students.
Schools should not allow junk food to be sold on campus, but jthere is no but
Schools should not allow junk food to be sold on campus, but there are plenty of other foods schools can sell for fundraising such as popcorn.
Schools should not allow junk food to be sold on campus, but I think if they are allowed to only buy it once in awhile it would be fine.
Schools should not allow junk food to be sold on campus, but if it is allowed, healthier choices should also be allowed as well.
Schools should not allow junk food to be sold on campus, but Some school has been sold this foods
Schools should not allow junk food to be sold on campus, but I think that giving the kids healthy choices would be a great replacement.
Schools should not allow junk food to be sold on campus, but instead should offer healthy options.
Schools should not allow junk food to be sold on campus, but should try to maintain healthy eating habits and lifestyle for the student while they attend the school
Schools should not allow junk food to be sold on campus, but they should make snacks available that are more appetizing to students and more filling to the body than, say, an apple.
Schools should not allow junk food to be sold on campus, but offer healthy snacks.
Schools should not allow junk food to be sold on campus, but maybe use them as a reward
Schools should not allow junk food to be sold on campus, but.There is a higher incidence of type 2 diabetes among youth in recent years.
Schools should not allow junk food to be sold on campus, but no way very students like that
Schools should not allow junk food to be sold on campus, but I think that we can still make money for the schools by allowing healthy snack options to be placed in vending machines.
Schools should not allow junk food to be sold on campus, but they should not control their diet outside of school.
Schools should not allow junk food to be sold on campus, but DUST IN NOSE.
