Schools should not allow junk food to be sold on campus, so there will be no junk food sold on campus.
Schools should not allow junk food to be sold on campus, so kids can start to eat healthier foods on a daily basis.
Schools should not allow junk food to be sold on campus, so they should replace the junk food with more nutritious alternatives.
Schools should not allow junk food to be sold on campus, so people in general will be healthier.
Schools should not allow junk food to be sold on campus, so if children want to eat junk food they should have them packed in their lunch by their parents.
Schools should not allow junk food to be sold on campus, so that the battle against obesity and diabetes can be implemented in another facet of life (i.e school campuses)
Schools should not allow junk food to be sold on campus, so they should remove junk food immediately.
Schools should not allow junk food to be sold on campus, so at least, the majority of options should be on the ‘healthy’ side.
Schools should not allow junk food to be sold on campus, so ?
Schools should not allow junk food to be sold on campus, so students are less likely to become obese.
Schools should not allow junk food to be sold on campus, so schools must generate money a different way.
Schools should not allow junk food to be sold on campus, so we should get rid of all of it
Schools should not allow junk food to be sold on campus, so there should be a conscious effort to educate young people on the importance living a healthier lifestyle by offering healthy foods and drinks.
Schools should not allow junk food to be sold on campus, so kids will make better choices on what to eat
Schools should not allow junk food to be sold on campus, so kids can buy healthy alternatives.
Schools should not allow junk food to be sold on campus, so that students have to choose between the healthy food they provide.
Schools should not allow junk food to be sold on campus, so that students will become healthier individuals.
Schools should not allow junk food to be sold on campus, so they should provide a range of healthy lunch options as an alternative.
Schools should not allow junk food to be sold on campus, so kids eat healthier
Schools should not allow junk food to be sold on campus, so that students are forced to eat healthier foods and less likely to develop health problems.
Schools should not allow junk food to be sold on campus, so children won't be tempted to begin or maintain unhealthy habits.
Schools should not allow junk food to be sold on campus, so the kids can learn to eat food that is good for them
Schools should not allow junk food to be sold on campus, so it is important to create the proper legislation to outlaw it
Schools should not allow junk food to be sold on campus, so that their students can find healthier things to eat.
Schools should not allow junk food to be sold on campus, so that students can have healthier alternatives and they can still bring their own if they wish, but aren't presented with the opportunity to impulse buy them during school lunch.
Schools should not allow junk food to be sold on campus, so kids can be healthier and more attentive in class.
Schools should not allow junk food to be sold on campus, so the temptation is not there for the kids to eat junk food.
Schools should not allow junk food to be sold on campus, so a ruling should be passed banning all junk food failing to meet certain nutritional criteria.
Schools should not allow junk food to be sold on campus, so only food considered "healthy" should be sold.
Schools should not allow junk food to be sold on campus, so junk food should be banned in other public places as well.
Schools should not allow junk food to be sold on campus, so they should sell healthy alternatives.
Schools should not allow junk food to be sold on campus, so younger people can be encouraged to develope healthier habits.
Schools should not allow junk food to be sold on campus, so the schools should provide more healthy alternatives.
Schools should not allow junk food to be sold on campus, so they should fill vending machines with healthy alternatives.
Schools should not allow junk food to be sold on campus, so if they do need the money, they should offer healthy choices.
Schools should not allow junk food to be sold on campus, so kids can learn health eating habits.
Schools should not allow junk food to be sold on campus, so they should offer healthier alternatives.
Schools should not allow junk food to be sold on campus, so they do not contribute to the unhealthy consequences of consuming junk food.
Schools should not allow junk food to be sold on campus, so that children have to make healthy choices instead of unhealthy ones.
Schools should not allow junk food to be sold on campus, so until that changes, parents should be teaching children at home about good eating habits.
Schools should not allow junk food to be sold on campus, so the best solution would be to have a vending machine with healthier alternatives or have a warning sign in front of the vending machine
Schools should not allow junk food to be sold on campus, so it will be clear to students that the school has entered an initiative to ensure that they pursue more healthy choices when it comes to lifestyle and food.
Schools should not allow junk food to be sold on campus, so schools could fill their snack machines with nutritious foods.
Schools should not allow junk food to be sold on campus, so schools should cooperate with health professionals at developing initiatives aimed at changing students habits of eating.
Schools should not allow junk food to be sold on campus, so students have to choose between healthier options instead.
Schools should not allow junk food to be sold on campus, so they should eliminate foods like chips, candy and soda from their snack machines.
Schools should not allow junk food to be sold on campus, so many are advocating that they take the hit on sales revenue and replace their offerings with something more healthy.
Schools should not allow junk food to be sold on campus, so we need to figure out the details about this policy and put it into place.
Schools should not allow junk food to be sold on campus, so everyone can see they value their students and their integrity is not for sale at any price
Schools should not allow junk food to be sold on campus, so students are not tempted by unhealthy options.
Schools should not allow junk food to be sold on campus, so that more children eat unhealthy snacks and become obese and have childhood diabetes.
Schools should not allow junk food to be sold on campus, so that students who do not have healthy role models can learn about healthy eating at school
Schools should not allow junk food to be sold on campus, so I think we should take the necessary political steps to make that happen.
Schools should not allow junk food to be sold on campus, so students make good choices
Schools should not allow junk food to be sold on campus, so laws should be made.
Schools should not allow junk food to be sold on campus, so they can eat better
Schools should not allow junk food to be sold on campus, so children will eat less junk food.
Schools should not allow junk food to be sold on campus, so parents are more aware and in control of their children's diets.
Schools should not allow junk food to be sold on campus, so better alternatives should be tried and experimented with.
Schools should not allow junk food to be sold on campus, so students learn that junk food has no room in our bodies.
Schools should not allow junk food to be sold on campus, so.There is a higher incidence of type 2 diabetes among youth in recent years
Schools should not allow junk food to be sold on campus, so the state and federal government should use common sense and do something about it.
Schools should not allow junk food to be sold on campus, so junk foods was affected by students health.
Schools should not allow junk food to be sold on campus, so they should take the steps necessary, like filling vending machines with healthy snacks, to combat this epidemic.
Schools should not allow junk food to be sold on campus, so all other schools have not allow to sold this type of foods
Schools should not allow junk food to be sold on campus, so children will not be put at higher risk for developing obesity and diabetes.
Schools should not allow junk food to be sold on campus, so that kids will have a better healthily choice
Schools should not allow junk food to be sold on campus, so they can figure another way for fundraising.
Schools should not allow junk food to be sold on campus, so that kids can learn to make healthy choices that will set them up for success in the future.
Schools should not allow junk food to be sold on campus, so children can lead healthy lives.
Schools should not allow junk food to be sold on campus, so that they would avoid having junk at least at the school.
Schools should not allow junk food to be sold on campus, so we should consider how much junk food we make available in other public spaces.
Schools should not allow junk food to be sold on campus, so that they aren't contributing to unhealthy choices.
Schools should not allow junk food to be sold on campus, so.There is a higher incidence of type 2 diabetes among youth in recent years.
Schools should not allow junk food to be sold on campus, so students avoid the food and brought the food from our home
Schools should not allow junk food to be sold on campus, so that overall population health can improve.
Schools should not allow junk food to be sold on campus, so this will help to promote a healthier culture.
Schools should not allow junk food to be sold on campus, so ITS NOT ALLOWED
Schools should not allow junk food to be sold on campus, so students will more easily make healthier choices.
Schools should not allow junk food to be sold on campus, so kids are healthy
Schools should not allow junk food to be sold on campus, so healthier alternatives should be available.
Schools should not allow junk food to be sold on campus, so that teens can make better choices.
Schools should not allow junk food to be sold on campus, so students do not become obese or unhealthy.
Schools should not allow junk food to be sold on campus, so to increase the good health of future generations.
Schools should not allow junk food to be sold on campus, so children do not get used to eating junk food
Schools should not allow junk food to be sold on campus, so schools should look to other means for fundraising.
Schools should not allow junk food to be sold on campus, so instead they could fill the vending machines with healthy alternatives.
Schools should not allow junk food to be sold on campus, so that students can avoid health problems.
Schools should not allow junk food to be sold on campus, so that healthy options, like fruits and veggie snacks can be offered instead for the student's health.
Schools should not allow junk food to be sold on campus, so that the students understand that those snacks are not important to your diet.
Schools should not allow junk food to be sold on campus, so no matter what the opposition it should become policy.
Schools should not allow junk food to be sold on campus, so they need to come up with a better plan.
Schools should not allow junk food to be sold on campus, so we need to stop the snack machines
Schools should not allow junk food to be sold on campus, so they must avoid to sell.
Schools should not allow junk food to be sold on campus, so schools should take small steps to implement healthier choices.
Schools should not allow junk food to be sold on campus, so students won't be tempted to eat unhealthy snacks.
Schools should not allow junk food to be sold on campus, so that healthy eating is promoted among students and faculty alike.
Schools should not allow junk food to be sold on campus, so children can have access to healthy food and options it can also lead into other things such as discussions about healthy choices and the outcomes of eating junk food alternatives.
Schools should not allow junk food to be sold on campus, so it should be removed and replaced with healthier snacking options.
Schools should not allow junk food to be sold on campus, so the students can learn to make better choices which they can take into their adulthood.
Schools should not allow junk food to be sold on campus, so children will choose the healthier options available and perhaps children will become healthier.
Schools should not allow junk food to be sold on campus, so that kids can avoid obesity.
Schools should not allow junk food to be sold on campus, so that kids will eat a regular lunch.
Schools should not allow junk food to be sold on campus, so it will create a healthier enviroment.
Schools should not allow junk food to be sold on campus, so that they can create revenue.
Schools should not allow junk food to be sold on campus, so that students can work on become healthier adults, the way in which students are taught contributes to how they will continue to live throughout the rest of their lives, so if they are taught that having a healthy lifestyle is important as a child they will continue down this path as an adult.
Schools should not allow junk food to be sold on campus, so that children don't have access to junk food during the school day.
Schools should not allow junk food to be sold on campus, so children can grow without the unhealthy processed snacks affecting them.
Schools should not allow junk food to be sold on campus, so the experts on nutrition are trying to promote healthier snacks in the vending machines.
Schools should not allow junk food to be sold on campus, so that students are not affected by type 2 diabetes and obesity.
Schools should not allow junk food to be sold on campus, so they should replace it with healthier and more wholesome options.
Schools should not allow junk food to be sold on campus, so children learn to make healthy decisions.
Schools should not allow junk food to be sold on campus, so they should side with health agencies to help promote eating healthy diet.
Schools should not allow junk food to be sold on campus, so as to prevent health issues.
Schools should not allow junk food to be sold on campus, so students did not eat junk foods
Schools should not allow junk food to be sold on campus, so student did not eat the junk food and they eat the food contains more nutritious
Schools should not allow junk food to be sold on campus, so their kids are healthier.
Schools should not allow junk food to be sold on campus, so students will be healthier and have more energy.
Schools should not allow junk food to be sold on campus, so students are only exposed to healthy food in the school.
Schools should not allow junk food to be sold on campus, so kids have to get used to making healthy snack choices that will hopefully stick with them thru life.
Schools should not allow junk food to be sold on campus, so we should all get on board with this notion so our next generation is healthier
Schools should not allow junk food to be sold on campus, so junk food would not be too accessible for kids.
Schools should not allow junk food to be sold on campus, so kids can focus on and get used to healthier foods.
Schools should not allow junk food to be sold on campus, so students will have some awareness about their healthy diets and then they will also start concentrating on some healthy foods
Schools should not allow junk food to be sold on campus, so other popular, tasty, healthy options should be abundant.
Schools should not allow junk food to be sold on campus, so that we can help protect the youth.
Schools should not allow junk food to be sold on campus, so schools should stock vending machines with healthy snacks
Schools should not allow junk food to be sold on campus, so students are able to mature into a healthy adulthood in which they will be free to make choices about junk food in a more mature way.
Schools should not allow junk food to be sold on campus, so that fewer kods will be obese and diabetic.
Schools should not allow junk food to be sold on campus, so the vending machines must offer nutritional snacks that are also appealing to the students.
Schools should not allow junk food to be sold on campus, so there are opportunities for sellers of healthier options to sell their products.
Schools should not allow junk food to be sold on campus, so kids can be taught to make better life choices.
Schools should not allow junk food to be sold on campus, so they should provide more healthy and organic snacks for purchase.
Schools should not allow junk food to be sold on campus, so there should be an healthy alternative.
Schools should not allow junk food to be sold on campus, so that students will learn to make better food choices.
Schools should not allow junk food to be sold on campus, so the students get at least one healthy meal a day.
Schools should not allow junk food to be sold on campus, so kids hopefully will choose healthier options.
Schools should not allow junk food to be sold on campus, so they have to come up with different & healthier options
Schools should not allow junk food to be sold on campus, so that health issues and obesity don't become problems.
