<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but should sell <ref id=2>more nutritious foods</ref> because <ref id=2>they</ref> have great nutritional value
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=1>it</ref> generates money for schools
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=0>they</ref> should have greater accessibility to nutrient dense foods
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is bad for <ref id=2>their</ref> health.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=0>they</ref> should provide more healthy options for students to choose
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is unhealthy for children and increases the likelihood of getting Type 2 Diabetes.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is unhealthy and affecting our children's health negatively.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> contributes to an unhealthy lifestyle.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> creates unhealthy eating habits in kids that then continue on into adult hood.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=0>they</ref> need to take the initiative to create healthy human beings.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> contributes to unhealthy behavior and obesity.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> can lead to obesity and diabetes.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is not a healthy meal
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=1>it</ref> does provide the school system with extra revenue
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because childhood obesity and diabetes is on the rise, and selling <ref id=1>these goods</ref> at school enables children to make poor choices.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=0>they</ref> can slowly integrate healthier choices such as baked potato chips instead of fried
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=0>they</ref> should incorporate healthy initiatives
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> encourages the eating of unhealthy junk food.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is unhealthy and there is not physical education programs in <ref id=0>schools</ref> to let <ref id=0>them</ref> work off the effects of eating so much junk food.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but if <ref id=1>it</ref> is allowed, healthier choices should also be allowed as well
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=0>they</ref> should make snacks available that are more appetizing to students and more filling to the body than, say, an apple
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> is unhealthy for growing children.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because, <ref id=1>they</ref> cause diabetes.
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=0>they</ref> should not ban candy companies from <ref id=2>advertising in schools</ref> if <ref id=2>it</ref> provides funding
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	but <ref id=1>It</ref> could potentially be sold in moderation and let <ref id=2>kids</ref> make <ref id=2>their</ref> own choices
<ref id=0>Schools</ref> should not allow <ref id=1>junk food</ref> to be sold on campus	because <ref id=1>it</ref> leads to higher numbers of type 2 diabetes among kids.
