Error type,Precision,Recall,F0.5-score,Support
,0.870156636438582,0.7034321892702432,0.8307752853207397,3001
Articles,0.8490566037735849,0.8823529411764706,0.855513307984791,51
Capitalization,0.9428571428571428,0.66,0.8684210526315791,50
Commas after yes & no,1.0,0.9,0.9782608695652175,50
Commas in numbers,0.734375,0.94,0.7679738562091503,50
Contractions,0.8478260869565217,0.78,0.8333333333333334,50
Incorrect irregular past tense,0.6777777777777778,0.61,0.6630434782608697,100
Irregular plural nouns,0.5470085470085471,0.64,0.5633802816901408,100
Man versus men,0.9361702127659575,0.88,0.9243697478991595,50
Object pronouns,0.8421052631578947,0.96,0.8633093525179855,100
Passive perfect with incorrect participle,0.9047619047619048,0.76,0.8715596330275229,100
Passive perfect without have,0.0,0.0,0.0,100
Passive with incorrect be,1.0,0.01,0.04807692307692308,100
Passive with incorrect participle,0.4,0.06,0.1875,100
Passive with simple past instead of participle,0.49295774647887325,0.7,0.5239520958083832,100
Passive without be,0.15384615384615385,0.6,0.1807228915662651,100
Past instead of participle,0.813953488372093,0.7,0.7882882882882882,100
Perfect progressive with incorrect be and without have,0.8068181818181818,0.71,0.7853982300884956,100
Perfect progressive without have,1.0,0.86,0.9684684684684686,100
Perfect with incorrect participle,0.7368421052631579,0.7,0.7291666666666665,100
Perfect without have,0.2168284789644013,0.67,0.25074850299401197,100
Plural versus possessive nouns,0.5135135135135135,0.57,0.5238970588235293,100
Possessive pronouns,0.84,0.42,0.7,100
Punctuation,0.7580645161290323,0.94,0.7885906040268457,50
Question marks,0.5238095238095238,0.88,0.5699481865284974,50
Repeated word,0.8064516129032258,1.0,0.8389261744966443,25
Simple past instead of past perfect,0.15406162464985995,0.55,0.1799738219895288,100
Singular and plural nouns,0.8061224489795918,0.79,0.8028455284552846,100
Spacing,0.8695652173913043,0.8,0.8547008547008546,25
Subject pronouns,0.5722543352601156,0.99,0.625,100
Subject_verb agreement with collective noun,0.5631067961165048,0.58,0.5664062499999999,100
Subject_verb agreement with indefinite pronoun,0.7961165048543689,0.82,0.80078125,100
Subject_verb agreement with inversion,0.8928571428571429,0.5,0.7716049382716049,100
Subject_verb agreement with personal pronoun,0.582089552238806,0.78,0.6132075471698113,100
Subject_verb agreement with simple noun,0.5698924731182796,0.53,0.5614406779661018,100
Than versus then,1.0,0.72,0.9278350515463917,100
Woman versus women,0.8958333333333334,0.86,0.8884297520661157,50
