Sentence,Errors,Predictions
"Plastic bag reduction laws are beneficial, but can cause extra fees at stores in order for customers to use them, and other areas may ban plastic bags altogether causing a problem in finding other solutions to carry their purchases.",,,,,
"Methane from cow burps harms the environment, but companies are offering alternatives to beef via Impossible burgers.",,,,,
"Large amounts of meat consumption are harming the environment, but it's by far mostly human activity that's driving up levels of this destructive greenhouse gas.",,,,,
Plastic bag reduction laws are beneficial because over 30% fewer plastic bags.,,,,,
"Alison Bechdel’s memoir has been challenged in certain communities, so the discussion about what is appropriate is being held.",,,,,
"Schools should not allow junk food to be sold on campus, so kids don’t abuse it.",,,,,
"Plastic bag reduction laws are beneficial, but they are challenging for the economy.",,,,,
"Large amounts of meat consumption are harming the environment, so you should try the impossible company's products and a alternate solution",,Punctuation,solution,131,rules
Schools should not allow junk food to be sold on campus because studies prove that providing children junk food leads to adverse health effects.,,,,,
"Methane from cow burps harms the environment, so eating impossible meat reduces gas emissions.",,,,,
"Plastic bag reduction laws are beneficial, so these laws can help protect the health of communities located closest to the production and processing plants.",,,,,
"Methane from cow burps harms the environment because it causes Earth's temperature to rise in a process called ""global warming"".",,,,,
Large amounts of meat consumption are harming the environment because they produce about 14.5% of the world's greenhouse gases.,,Spacing,14.5,89,rules
"Alison Bechdel’s memoir has been challenged in certain communities because they consider the imagery ""pornographic.""",,,,,
"Methane from cow burps harms the environment, but it is a small portion of the total Co2 emitted into the atmosphere and there may be more direct ways to combat global warming.",,,,,
Plastic bag reduction laws are beneficial because it will decrease health problems.,,,,,
"Schools should not allow junk food to be sold on campus because it makes it accessible to children, and it is bad for their health.",,,,,
"Large amounts of meat consumption are harming the environment, but it is not that impactful",,Punctuation,impactful,82,rules
Large amounts of meat consumption are harming the environment because it contributes to greenhouse gases that contribute to global warming.,,,,,
Alison Bechdel’s memoir has been challenged in certain communities because many claim that the book is pornographic.,,,,,
"Schools should not allow junk food to be sold on campus, so they should revise their policies.",,,,,
"Alison Bechdel’s memoir has been challenged in certain communities, but remains an important tool in the conversation of censorship.",,,,,
"Large amounts of meat consumption are harming the environment, but Impossible Foods is working on alternatives to animal meat products that are less harmful to the environment and release less greenhouse gases.",,Subject_verb agreement with simple noun,is,84,lm
"Plastic bag reduction laws are beneficial, but it means factory workers will be out of work.",,,,,
"Large amounts of meat consumption are harming the environment because every day, 1.5 billion cows burp 30-50 gallons of methane which raises the Earth's temperature via global warming.",,Spacing,1.5,81,rules
"Methane from cow burps harms the environment, so we should change the diet of what we feed the meat we eat, as well as eat less meat.",,,,,
"Schools should not allow junk food to be sold on campus, so people will be force to eat more healthy foods.",,,,,
Eastern Michigan University cut women's tennis and softball because the he explained that the cuts showed that the school was not making enough effort to give women equal access to sports.,,Simple past instead of past perfect,showed,99,spaCy
Methane from cow burps harms the environment because it makes earths temperature rise the effect is called global warming.,,,,,
"Eastern Michigan University cut women's tennis and softball, so that they can reduce there financial problems.",,,,,
"Methane from cow burps harms the environment, but we can go for an alternative instead of raising animals for food",,Punctuation,food,110,rules
"Alison Bechdel’s memoir has been challenged in certain communities, so the NCAC is supporting the book and fighting to keep it in the schools.",,,,,
"Schools should not allow junk food to be sold on campus, so students can have healthier choices for stronger bodies and minds.",,,,,
Alison Bechdel’s memoir has been challenged in certain communities because it depicts sexuality.,,,,,
"Methane from cow burps harms the environment, so many people are turning to plant-based ""meat"" products like the impossible burger.",,,,,
Plastic bag reduction laws are beneficial because plastic bag production and disposal can be dangerous to health.,,,,,
Plastic bag reduction laws are beneficial because we are free from pollution.we recover our natural resources,,Spacing,pollution.we,67,rules
"Plastic bag reduction laws are beneficial, so it would be useful if our local, state, and federal government would increase education so citizens have a greater understanding of the benefits of reduction, and be more motivated to do so.",,Subject_verb agreement with simple noun,be,209,lm
"Schools should not allow junk food to be sold on campus, but students should have a choice and it also brings in money to the school.",,,,,
"Large amounts of meat consumption are harming the environment, so solutions, such as reduced meat consumption and changing of animal agricultural diets, must be adopted by the public.",,,,,
Plastic bag reduction laws are beneficial because plastic bags are not good for people or the environment.,,,,,
"Plastic bag reduction laws are beneficial, but people who work for plastic bag production and processing plants fear these laws could cause them to lose their jobs.",,,,,
"Large amounts of meat consumption are harming the environment because it causes the temperature of the Earth to rise, resulting in global warming.",,,,,
"Alison Bechdel’s memoir has been challenged in certain communities, but It is being supported as appropriate reading by the National Coalition Against Censorship, for its ability to allow LGBTQ youth reading material to answer questions they may have, in a safe way.",,,,,
Large amounts of meat consumption are harming the environment because a cow does on overage release between 70 and 120 kg of Methane per year,,Irregular plural nouns,kg,119,rules
"Large amounts of meat consumption are harming the environment, so we should reduce our animal product intake.",,,,,
Methane from cow burps harms the environment because it adds to the greenhouse effect.,,,,,
"Plastic bag reduction laws are beneficial, so more cities should institute them so it becomes common practice",,Punctuation,practice,101,rules
"Schools should not allow junk food to be sold on campus because, It is very unhealthy and young people are getting ill from this.",,,,,
"Methane from cow burps harms the environment, so They predict that as Earth’s temperature rises, these events will become more common.",,,,,
"Methane from cow burps harms the environment, so we should switch to Impossible burgers.",,,,,
"Schools should not allow junk food to be sold on campus, so to increase the good health of future generations.",,,,,
