In the hierarchical social, the emperor was at the apex of Han society and government.  ||| ('order', '', 'pobj', 'NOUN') 
On the, the hurricane caused strong waves, gusty winds, and heavy rainfall at times.  ||| ('Cayman', '', 'compound', 'PROPN') ('Islands', '', 'pobj', 'PROPN') 
Afterward, began weakening due to moving over an area of cooler water temperatures.  ||| ('Gordon', 'PERSON', 'nsubj', 'PROPN') 
Following the, several senior officers lobbied for the appointment of a commander in chief of the three services.  ||| ('war', '', 'pobj', 'NOUN') 
Under of legal action, the song was removed from pressings released from 1995 to 2001.  ||| ('threat', '', 'pobj', 'NOUN') 
Many of's elite families settled along Prairie Avenue.  ||| ('Chicago', 'GPE', 'poss', 'PROPN') 
Coached 56 games in two seasons.  ||| ('He', '', 'nsubj', 'PRON') 
The was a failure and was disbanded in 1834.  ||| ('commission', '', 'nsubj', 'NOUN') 
Repulsed invading provincial armies, saving Buenos Aires.  ||| ('They', '', 'nsubj', 'PRON') 
The at San Felipe, Nacogdoches, Gonzales and Liberty half- heartedly apologized for their participation, and Wharton's mission was cancelled.  ||| ('ayuntamientos', '', 'nsubj', 'NOUN') 
The attracted about 3.15 million tourists in 2010.  ||| ('city', '', 'nsubj', 'NOUN') 
As a, Raynolds surveyed and mapped the islands and shorelines on the Great Lakes and other regions.  ||| ('cartographer', '', 'pobj', 'NOUN') 
Although finished the game and recorded three assists,x- rays several days later revealed a fracture.  ||| ('Daniel', 'PERSON', 'nsubj', 'PROPN') 
The Canadian boomed during the war as its industries manufactured military materiel for Canada, Britain, China, and the Soviet Union.  ||| ('economy', '', 'nsubj', 'NOUN') 
Once arrived in the area, it met heavier resistance from South Korean police and militia operating in armored vehicles.  ||| ('it', '', 'nsubj', 'PRON') 
Was buried in Westminster Abbey, close to his friend William Pitt.  ||| ('He', '', 'nsubjpass', 'PRON') 
As before, however, the stalled.  ||| ('offense', '', 'nsubj', 'NOUN') 
Had 108 rushing yards while Smith had 57.  ||| ('Young', 'ORG', 'nsubj', 'PROPN') 
Many were wrecked or washed away, leaving hundreds homeless.  ||| ('houses', '', 'nsubjpass', 'NOUN') 
This used fifteen previously unused names, the most ever in an Atlantic season.  ||| ('season', '', 'nsubj', 'NOUN') 
Captive have raised lobster larvae for release of juveniles into the wild resulting in an increased lobster harvest in Maine.  ||| ('breeding', '', 'compound', 'NOUN') ('programmes', '', 'nsubj', 'NOUN') 
Remarried there and went on to run two nursing homes in Switzerland.  ||| ('She', '', 'nsubj', 'PRON') 
In, the storm blew out windows and flooded the vacation home of then- President George H. W. Bush.  ||| ('Kennebunkport', 'GPE', 'pobj', 'PROPN') 
Even named his second son Douglas after Jardine.  ||| ('Verity', 'PERSON', 'nsubj', 'PROPN') 
Damage on was also extensive, and three people drowned at Cape Gracias, which was largely destroyed by the storm.  ||| ('land', '', 'pobj', 'NOUN') 
The shows more evidence of David Balfour's influence on Shapinsay.  ||| ('broch', '', 'nsubj', 'NOUN') 
's success, however, seriously damaged the long- term political stability of the Empire.  ||| ('Rio', 'PERSON', 'compound', 'PROPN') ('Branco', 'PERSON', 'poss', 'PROPN') 
In 1909 received a serious leg injury while on stage at the Belfast Hippodrome during a performance of the Serpentine Dance.  ||| ('he', '', 'nsubj', 'PRON') 
In 2014, he played for the Rest of the World side in the Bicentenary Celebration match at Lord's.  ||| ('July', 'DATE', 'pobj', 'PROPN') 
This allowed to fish her out of the water if she fell into difficulty.  ||| ('him', '', 'nsubj', 'PRON') 
Transitioned into an extratropical cyclone on October 3, shortly before merging with an approaching cold front northeast of the Azores.  ||| ('Nadine', 'PERSON', 'compound', 'PROPN') 
The was overwhelmed by shingle in a storm in 2008, and subsequently demolished.  ||| ('building', '', 'nsubjpass', 'NOUN') 
During her wore a dress made to replicate a voting ballot, with Obama's box filled in.  ||| ('Las', 'GPE', 'compound', 'PROPN') ('Vegas', 'GPE', 'compound', 'PROPN') ('performance', '', 'pobj', 'NOUN') ('she', '', 'nsubj', 'PRON') 
The hit the worst was eastern Long Island, where high wind gusts blew thousands of trees into buildings and across roads.  ||| ('area', '', 'nsubj', 'NOUN') 
The gusts downed a few power lines, and damage was minor.  ||| ('wind', '', 'compound', 'NOUN') 
The in the state was 158.1 per 100,000 people, less than the all- India average of 192.2.  ||| ('crime', '', 'compound', 'NOUN') ('rate', '', 'nsubj', 'NOUN') 
The official took place on May 4, 2010, and the trail was expected to be completed by October.  ||| ('groundbreaking', '', 'compound', 'NOUN') ('ceremony', '', 'nsubj', 'NOUN') 
Strong and rainfall resulted in heavy crop damage in southeastern Puerto Rico.  ||| ('winds', '', 'nsubj', 'NOUN') 
Was installed as a caretaker and began using the pseudonym John Johnson, servant to Percy.  ||| ('Fawkes', 'PERSON', 'nsubjpass', 'PROPN') 
The Australian sent further groups of asylum- seekers to Nauru in late 2006 and early 2007.  ||| ('government', '', 'nsubj', 'NOUN') 
