As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
After the end of the Cultural Revolution in the late 1970s. ||| After ||| After the end of the Cultural Revolution in the late 1970s, traditional Peking opera began to be performed again.
Once there. ||| Once ||| Once there, however, Tech committed a 10-yard holding penalty, pushing the Hokies backwards.
As a draw, given that no full-scale breakthrough occurred following the attack. ||| as ||| Contemporary German sources viewed the action, at worst, as a draw, given that no full-scale breakthrough occurred following the attack.
Than 40 homes and businesses. ||| than ||| The storm flooded more than 40 homes and businesses.
That allowed them to access restricted nuclear information. ||| that ||| Lawyers for The Progressive voluntarily underwent security reviews and were granted Q clearances that allowed them to access restricted nuclear information.
After being persuaded by Talbot. ||| after ||| In 1967, Windle retired, but made a comeback to compete in the shorter distances after being persuaded by Talbot.
Than 50 bridges. ||| than ||| In the 21st century, major highways follow the river, and roads cross it on more than 50 bridges.
When Bian Koen chases her. ||| When ||| When Bian Koen chases her, he falls and passes out.
As Mount Toby Conglomerate. ||| as ||| The top layer is composed of a sedimentary conglomerate known as Mount Toby Conglomerate.
After further negotiations. ||| After ||| After further negotiations, both Arnold and Forster agreed to terms.
After Scott had been picked up in a distressed state by a passing car. ||| After ||| After Scott had been picked up in a distressed state by a passing car, the police were notified, and began enquiries.
Although voting was attempted. ||| Although ||| Although voting was attempted, many delegates abstained because they were unable to hear and understand what was going on.
When sea bathing became popular. ||| when ||| Bournemouth, the most populous town in the conurbation, was established in the Georgian era when sea bathing became popular.
As aloof and calculating. ||| as ||| Goebel was known as aloof and calculating.
That playing for Schmid in Los Angeles required professionalism on and off the field. ||| that ||| Lalas also commented that playing for Schmid in Los Angeles required professionalism on and off the field.
As the debate and wrangling over her dowry proved, money was tight. ||| as ||| However, as the debate and wrangling over her dowry proved, money was tight.
As well. ||| as ||| Even so, Poe has received not only praise, but criticism as well.
Since 1926. ||| since ||| It was both the most damaging and the first hurricane to cause a death on the island since 1926.
After moving to his new farm. ||| after ||| Greenfield entered public life on a local level soon after moving to his new farm.
After a year of conversion into a museum. ||| After ||| After a year of conversion into a museum, the ship opened for visitors on January 29, 1999.
As John Colter and Jim Bridger. ||| as ||| In the early 19th century, the forest was visited by mountain men and explorers such as John Colter and Jim Bridger.
That signed Merger Agreements were integrated into provinces, however. ||| that ||| Not all states that signed Merger Agreements were integrated into provinces, however.
When the low-level center decoupled from the mid-level low and became elongated. ||| when ||| The hurricane finally succumbed to the persistent wind shear when the low-level center decoupled from the mid-level low and became elongated.
As cavalry was an important feature of the 5th-century Roman military. ||| as ||| The creation of heavily armoured cataphract-type soldiers as cavalry was an important feature of the 5th-century Roman military.
As liberators. ||| as ||| By the end of the war her sympathies had again changed, and she saw the Allies as liberators.
Than 50% of the population depends on agriculture for sustaining their livelihood. ||| than ||| More than 50% of the population depends on agriculture for sustaining their livelihood.
Since their first publication. ||| since ||| Both of these books have remained almost constantly in print since their first publication.
Where she almost died after a dentist improperly administered an anaesthetic. ||| where ||| In 1928, Heyer followed her husband to Macedonia, where she almost died after a dentist improperly administered an anaesthetic.
As of 2003. ||| As ||| As of 2003, the park is estimated to receive 200,000 visitors a year.
As good as Morland's, which Hansen had not seen. ||| as ||| This included his own design, one not as good as Morland's, which Hansen had not seen.
After his departure from the game. ||| After ||| After his departure from the game, throwing ceased to be a concern in English cricket for 50 years.
As heroes, the latter as a martyr who had sacrificed his legal career. ||| as ||| He and Kenealy were hailed as heroes, the latter as a martyr who had sacrificed his legal career.
That went up the ridge. ||| that ||| The trail became the backbone of a system of interconnected trails and greenspaces that went up the ridge.
When it shut down operations for 24 to 48 hours at various locations. ||| when ||| The storm diminished oil production by 1.4 million barrels when it shut down operations for 24 to 48 hours at various locations.
As Pericles' charisma to lead, convince and, sometimes, to manipulate. ||| as ||| Through this comment, the historian illustrates what he perceives as Pericles' charisma to lead, convince and, sometimes, to manipulate.
As of the 2010 United States Census. ||| As ||| As of the 2010 United States Census, there were 8,508 people, 3,337 households, and 2,416 families residing in the county.
Than normal. ||| than ||| Constructive interference, however, can also cause individual rogue waves much higher than normal.
After the jury's finding. ||| after ||| All of this was largely academic to Brownlee, who resigned after the jury's finding.
As was his occasional practice. ||| As ||| As was his occasional practice, he traveled to Dora Smith's house to rest.
Before the arrival of containerization in the 1950s. ||| Before ||| Before the arrival of containerization in the 1950s, these goods were loaded, transported and unloaded piecemeal.
As organiser, performer and composer. ||| as ||| Joseph became a key figure in these festivals, as organiser, performer and composer.
Although tourism is important to the economy. ||| Although ||| Although tourism is important to the economy, most residents work in other fields.
Although the Doolittle Raid caused little damage. ||| Although ||| Although the Doolittle Raid caused little damage, it had important ramifications.
Than 26,000 residents temporarily lost power after lightning struck a nearby power station, leading to a fire. ||| than ||| More than 26,000 residents temporarily lost power after lightning struck a nearby power station, leading to a fire.
Though it retained Category 5 status for 24 hours. ||| though ||| Due to an eyewall replacement cycle, Isabel weakened slightly, though it retained Category 5 status for 24 hours.
Since 1984, and the Paralympic Games since 2004. ||| since ||| Rwandans have been competing at the Olympic Games since 1984, and the Paralympic Games since 2004.
That same year, he worked again as justice of the peace and assumed a position as a legislatively-appointed auctioneer. ||| that ||| Later that same year, he worked again as justice of the peace and assumed a position as a legislatively-appointed auctioneer.
Where there is a funnel-shaped bay or estuary. ||| Where ||| Where there is a funnel-shaped bay or estuary, the tidal range can be magnified.
That of a subtropical cyclone, with light winds near the center. ||| that ||| Initially, the structure was akin to that of a subtropical cyclone, with light winds near the center.
After the Know-Nothings were defeated. ||| after ||| Hindman received praise for his actions and became a force in Democratic politics after the Know-Nothings were defeated.
As Governor was relatively uneventful until 1975. ||| as ||| His term as Governor was relatively uneventful until 1975.
Though he missed the entire 1926 season. ||| though ||| By July, he could watch Gloucestershire playing in Bristol, though he missed the entire 1926 season.
After the death of his first wife. ||| After ||| After the death of his first wife, Marjorie, Wrigley married Zenda Edwards on 5 January 1972.
As an important step in West Indian nationalism, and an encouragement to future authors. ||| as ||| Later commentators have identified Constantine's book as an important step in West Indian nationalism, and an encouragement to future authors.
Since been appointed to the bench, and the party was now led by Joseph Tweed Shaw. ||| since ||| Boyle had since been appointed to the bench, and the party was now led by Joseph Tweed Shaw.
That Ironside may have suffered simply from lack of resources. ||| that ||| Historian Terry Crowdy's analysis is that Ironside may have suffered simply from lack of resources.
After their present servant Anna Facchini adamantly denied any involvement. ||| After ||| After their present servant Anna Facchini adamantly denied any involvement, they considered former employees and soon earmarked Morisi as a possible candidate.
Before departing for northern Russia. ||| before ||| Appointment to a military expedition to Murmansk obliged him to return home before departing for northern Russia.
Though all resident animals survived unharmed. ||| though ||| The St. Maarten Zoo sustained heavy structural damage, though all resident animals survived unharmed.
As Virginia Tech struggled to answer the two Georgia scores. ||| as ||| The third quarter came to a close as Virginia Tech struggled to answer the two Georgia scores.
After the eruption. ||| after ||| His body was never found after the eruption.
That were hard to cultivate. ||| that ||| These earliest homesteaders were mostly single men who endured long winters, short growing seasons and rocky soils that were hard to cultivate.
After private funeral services at Orr's funeral home. ||| After ||| After private funeral services at Orr's funeral home, McAleer's remains were interred at Oak Hill Cemetery, on Youngstown's near south side.
Once more Constellation slipped next to L'Insurgente's leeward side and fired into her. ||| Once ||| Once more Constellation slipped next to L'Insurgente's leeward side and fired into her, disabling the French vessel's 18-pounder guns.
That around this time, Peel was threatened by Stoddart with expulsion from the tour owing to his drinking. ||| that ||| It is possible that around this time, Peel was threatened by Stoddart with expulsion from the tour owing to his drinking.
As Rockefeller's candidacy faded. ||| As ||| As Rockefeller's candidacy faded, Cooper encouraged his colleague, Kentucky Senator Thruston B. Morton, to seek the presidency, but Morton declined.
As it neared Ireland, skirting the coast of Western Ireland on September 16. ||| as ||| Regardless of which took place, the system deepened as it neared Ireland, skirting the coast of Western Ireland on September 16.
Although Allen's effort had no official sanction, his men were unlikely to serve under anyone else. ||| although ||| He was also warned that, although Allen's effort had no official sanction, his men were unlikely to serve under anyone else.
After the city's fall, only to treacherously ambush and defeat him. ||| after ||| According to this view, Theodore offered to acknowledge Peter's suzerainty after the city's fall, only to treacherously ambush and defeat him.
When Sackville-West intervened in the 1888 election. ||| when ||| Relations with Britain were also impaired when Sackville-West intervened in the 1888 election.
While civil plays have a greater need for older roles and dan. ||| while ||| Martial plays predominantly feature young sheng, jing, and chou, while civil plays have a greater need for older roles and dan.
Before the nobility. ||| before ||| There was much sightseeing, and performances before the nobility.
As candidates. ||| as ||| The election went ahead on 25 August with Kagame, Twagiramungu and Nayinzira as candidates.
As it tracked along the periphery of a subtropical ridge. ||| as ||| Nadine turned northward on September 14 as it tracked along the periphery of a subtropical ridge.
Where significant flooding occurred. ||| where ||| The heavy rainfall progressed into Georgia, where significant flooding occurred.
That Daniel and Mary and Washington had drifted away from the convoy, the Haitians set out to attack them. ||| that ||| Seeing that Daniel and Mary and Washington had drifted away from the convoy, the Haitians set out to attack them.
After some delay, the Yugoslav government conditionally signed the Pact. ||| after ||| On 25 March 1941, after some delay, the Yugoslav government conditionally signed the Pact.
As quickly as Stuck had done. ||| as ||| From his position Pryce could not see Jansen van Vuuren and was unable to react as quickly as Stuck had done.
That in the second Test, and he finished the series with 164 runs at 32.80. ||| that ||| MacLaren's only score over fifty was that in the second Test, and he finished the series with 164 runs at 32.80.
Until mid-October due to inundated groves. ||| until ||| Harvesting the remaining crops was delayed until mid-October due to inundated groves.
Whether the citizens of Buenos Aires supported Rosas's reelection and reassumption of dictatorial powers. ||| whether ||| A plebscite was held to determine whether the citizens of Buenos Aires supported Rosas's reelection and reassumption of dictatorial powers.
Than 70,000 arrived by 550 river cruisers. ||| than ||| Of those, more than 70,000 arrived by 550 river cruisers.
While Tropical Storm Beryl was over land. ||| while ||| The associated disturbance organized and was declared a tropical depression on August 16, while Tropical Storm Beryl was over land.
As far back almost 2 billion years. ||| as ||| Different regions contain rocks belonging to different geologic periods, dating as far back almost 2 billion years.
That now form much of the Metacomet Ridge took place over a span of 20 million years. ||| that ||| The basalt floods of lava that now form much of the Metacomet Ridge took place over a span of 20 million years.
As of 2014, represents the Srirangam constituency. ||| as ||| Jayalalithaa, the chief minister of Tamil Nadu as of 2014, represents the Srirangam constituency.
As such it was never published. ||| As ||| As such it was never published, and over the years many works have been lost.
After privately agreeing to a temporary marriage of convenience. ||| After ||| After privately agreeing to a temporary marriage of convenience, Travis and Dee exchange vows in Paddy's hospital room.
As an envoy to the United States. ||| as ||| The following year Iturbide became emperor of Mexico and sent Bradburn as an envoy to the United States.
Than a month after his birth in 1864. ||| than ||| The couple had five children; the first, a son named Charles, died less than a month after his birth in 1864.
As a constitutional entity. ||| As ||| As a constitutional entity, the Commission could only be abolished by an amendment ratified by popular vote.
As part of a long-lasting chain of successful Yorkshire left-arm spinners, preceded by Peate and succeeded by Rhodes. ||| as ||| Historians regard Peel as part of a long-lasting chain of successful Yorkshire left-arm spinners, preceded by Peate and succeeded by Rhodes.
That his surname was Drummond, but the lack of any supporting documentation makes this unlikely. ||| that ||| One early source claims that his surname was Drummond, but the lack of any supporting documentation makes this unlikely.
After a serious riding accident. ||| after ||| Her mother died of pancreatitis on December 31, 1944, two months after a serious riding accident.
That year. ||| That ||| That year, Ringway, the town where the Manchester Airport is located, was added to the City.
That constantly threatened to overwhelm the boat. ||| that ||| From the outset, the weather was wet and stormy, with mountainous seas that constantly threatened to overwhelm the boat.
As under Gernsback. ||| As ||| As under Gernsback, Sloane was essentially the editor during Lynch's tenure.
As a television newsreader. ||| as ||| They had one child, Reginald, who later achieved fame as a television newsreader.
After betting opened, the point spread narrowed to 7.5, still in favor of Virginia Tech. ||| after ||| Five days after betting opened, the point spread narrowed to 7.5, still in favor of Virginia Tech.
As a result of Tropical Storm Bret. ||| as ||| Prior to Gert, a state of emergency was in effect for Nicaragua as a result of Tropical Storm Bret.
When he was 17 to work as a scaffolder. ||| when ||| He moved to London when he was 17 to work as a scaffolder.
As a whole. ||| as ||| The average age of a Winnipegger in May 2006 was 38.7, compared to an average of 39.5 for Canada as a whole.
After their patron king who was also called Athishayadhavala. ||| after ||| These writings are named after their patron king who was also called Athishayadhavala.
Before he could act on this suggestion. ||| Before ||| Before he could act on this suggestion, Howe suffered a heart attack and died at his home on 31 December 1960.
That Playford be bestowed with a form of honours. ||| that ||| During this period, Prime Minister Menzies recommended that Playford be bestowed with a form of honours.
Although her children were being nourished by the organs of their father. ||| although ||| Inside the tent, Elizabeth Donner refused to eat, although her children were being nourished by the organs of their father.
That when used, it significantly deadened the noise produced by the engine parts. ||| that ||| He experimented with the use of aluminum and found that when used, it significantly deadened the noise produced by the engine parts.
That way each hill would be covered with a single. ||| That ||| That way each hill would be covered with a single, primary color which represented its spiritual value.
As before. ||| As ||| As before, the Hokies struck quickly.
That Yeates' body might have been transported in a large holdall or suitcase. ||| that ||| A breakthrough led investigators to believe that Yeates' body might have been transported in a large holdall or suitcase.
Until the birth of their first child Edward in 1900. ||| until ||| Robey and Ethel resided briefly in Circus Road, St John's Wood, until the birth of their first child Edward in 1900.
While only allowing a single touchdown. ||| while ||| Against Mid-American Conference Champion Central Michigan University, Kansas scored 52 points while only allowing a single touchdown.
After Grainger's final folksong expedition to Denmark. ||| after ||| On arrival in America the pair separated, but were reunited in England the following autumn after Grainger's final folksong expedition to Denmark.
As early as five o'clock in the morning for exercises. ||| as ||| Students at these schools rose as early as five o'clock in the morning for exercises.
After landfall, Bret weakened to a tropical storm. ||| after ||| The hurricane rapidly weakened upon moving inland, and roughly 12 hours after landfall, Bret weakened to a tropical storm.
As a bowler. ||| as ||| Hirst, suffering from a strained leg for some of the tour, was ineffective as a bowler.
That the monks were lacking in food, clothes, and other necessities. ||| that ||| A papal legate visited the abbey and found that the monks were lacking in food, clothes, and other necessities.
Whether any of these recruits participated in the action at The Cedars, but it appears unlikely. ||| whether ||| Historians are uncertain whether any of these recruits participated in the action at The Cedars, but it appears unlikely.
As marquesses. ||| as ||| The highest government officials could be enfeoffed as marquesses.
That of Geoff Cook. ||| that ||| His first wicket was that of Geoff Cook.
That as he discovered the Novel, Balzac discovered himself. ||| that ||| Biographer Graham Robb suggests that as he discovered the Novel, Balzac discovered himself.
After passing the island. ||| After ||| After passing the island, the hurricane turned to the northeast, and became extratropical on September 8.
Although he took four for 28 on the last day. ||| Although ||| Although he took four for 28 on the last day, his rivals for an England place were also successful.
As skirmishers under fire with great precision. ||| as ||| During the action, a portion of the regiment deployed as skirmishers under fire with great precision.
Than a month later, on March 18, 1907, Tilley died of pneumonia. ||| than ||| Less than a month later, on March 18, 1907, Tilley died of pneumonia.
Since the early 1990s, riparian zones have begun to recover. ||| since ||| The stakeholders met and agreed on changes to land-use practices, and since the early 1990s, riparian zones have begun to recover.
That was believed to counteract this imbalance. ||| that ||| Thus, Han-era physicians prescribed medicine that was believed to counteract this imbalance.
