filepath,num_train_items,num_test_items
data/training/bae.ndjson,100000,0
data/training/quill_labels_20221125_train.ndjson,10000,0
data/training/quill_labels_20231101_train.ndjson,10000,0
data/training/fragment_no_verb.ndjson,50000,1000
data/training/he_instead_of_the.ndjson,20000,500
data/training/an_instead_of_and.ndjson,20000,500
data/training/articles_an_optimal.ndjson,20000,500
data/training/articles_a_optimal.ndjson,20000,500
data/training/Runons_notw.ndjson,200000,2000
data/training/Runons_with_however.ndjson,5000,200
data/training/however.ndjson,2000,200
data/training/Runons_with_therefore.ndjson,2000,200
data/training/Runons_with_for_example.ndjson,2000,200
data/training/Runons_with_as_a_result.ndjson,2000,200
data/training/passive_with_incorrect_be.ndjson,20000,1000
data/training/passive_perfect_without_have.ndjson,20000,1000
data/training/its_versus_it_s.ndjson,20000,1000
data/training/incorrect_infinitive.ndjson,10000,500
data/training/incorrect_infinitive_ing.ndjson,10000,500
data/training/incorrect_infinitive_past.ndjson,10000,500
data/training/missing_preposition_after_stat.ndjson,5000,500
data/training/singular_and_plural_nouns_no_determiner.ndjson,100000,1000
data/training/singular_and_plural_nouns_these_those.ndjson,10000,500
data/training/plural_versus_possessive_nouns_possessive_noun_optimal_filtered.ndjson,100000,2000
data/training/plural_versus_possessive_nouns_possessive_noun_optimal_propn.ndjson,10000,200
data/training/plural_versus_possessive_nouns_plural_noun_optimal_filtered.ndjson,100000,2000
data/training/plural_versus_possessive_nouns_plural_noun_optimal_negative_ing.ndjson,10000,200
data/training/singular_and_plural_possessive.ndjson,20000,1000
data/training/subject_verb_agreement_with_inversion2.ndjson,100000,3000
data/training/subject_verb_agreement_with_personal_pronoun.ndjson,100000,3000
data/training/subject_verb_agreement_with_relative_pronoun.ndjson,100000,1000
data/training/subject_verb_agreement_with_simple_noun_filtered.ndjson,500000,5000
data/training/subject_verb_agreement_with_indefinite_pronoun.ndjson,200000,3000
data/training/past_instead_of_participle.ndjson,100000,1000
data/training/passive_with_simple_past_instead_of_participle.ndjson,100000,1000
data/training/VBN_VBD.ndjson,50000,2000
data/training/their_vs_there_vs_they_re.ndjson,50000,1000
data/training/than_versus_then.ndjson,10000,1000
data/training/accept_vs_except.ndjson,10000,1000
data/training/affect_vs_effect.ndjson,5000,500
data/training/passed_vs_past.ndjson,5000,500
data/training/lead_vs_led.ndjson,20000,500
data/training/you_re_vs_your.ndjson,20000,1000
data/training/who_s_vs_whose.ndjson,20000,1000
data/training/to_vs_too_vs_two_to_optimal.ndjson,10000,500
data/training/to_vs_too_vs_two_two_optimal.ndjson,10000,500
data/training/to_vs_too_vs_two_too_optimal.ndjson,10000,500
data/training/loose_vs_lose2.ndjson,20000,500
data/training/further_vs_farther.ndjson,10000,500
data/training/advise_vs_advice.ndjson,5000,500
data/training/council_vs_counsel.ndjson,10000,500
data/training/through_vs_threw_vs_thru.ndjson,10000,500
data/training/apart_vs_a_part.ndjson,20000,500
